epoch,loss
0,4.163015510096694
1,4.568873781146425
2,2.76760114563836
3,2.315544610071664
4,2.246456016193737
5,2.5734923608375317
6,2.1595031853878135
7,2.1947121343227347
8,2.3672849457673353
9,2.1583529265239987
10,2.2932155710278135
11,2.169185354252054
12,2.166899596801912
13,2.1466296971446335
14,2.150340533015704
15,2.20700566937225
16,2.1897116225175184
17,2.114920828077528
18,2.438481021409083
19,2.1673479971259533
20,2.1224354144298667
21,2.127369235260318
22,2.1536881008533517
23,2.1375981533166133
24,2.1161194232979206
25,2.1255776761758205
26,2.086126209509493
27,2.106534228180394
28,2.09846606760314
29,2.2082136375735506
30,2.088139791681309
31,2.077666558400549
32,2.0961940818362765
33,2.040274340697009
34,2.083074870735708
35,2.0662215213582975
36,2.0527055612718215
37,2.046062957156788
38,2.032429459119084
39,2.0623617846556384
40,2.0106598740876325
41,2.0513738068667324
42,2.088544153203868
43,1.9787905902573557
44,2.001225552173576
45,1.972327521353057
46,2.0128484651295824
47,3.5354930656124846
48,2.0143089944666084
49,1.9658757339824329
50,1.950990576936741
51,1.9428816540072662
52,2.008023566669888
53,1.9174988787583631
54,1.9088137366554954
55,1.9360859080998585
56,1.9248960752679845
57,1.9059641975345034
58,1.9392689309938989
59,1.8977313812332923
60,1.8902422009092388
61,1.842085347031102
62,1.9584017859564886
63,1.8462781231812757
64,1.7926042441165808
65,1.8758735476118145
66,1.82198364325244
67,1.9866557578847865
68,1.7728068238556987
69,1.7733899126149186
70,1.8959838549296062
71,1.771437442663944
72,1.811778516480417
73,6.6932880637621635
74,1.7487187782923381
75,1.7233216449467823
76,1.6648683162650677
77,1.7042328721345072
78,1.699590675758593
79,1.646587270678896
80,1.7749594787154535
81,1.6943506231211654
82,1.6824826122534395
83,1.6376123103228482
84,1.5645121071073744
85,1.7620594332916568
86,1.6728846376592463
87,1.6035703492887092
88,1.6578587992022735
89,1.5742029312885168
90,1.5519242021772597
91,1.6791587742892178
92,1.5157061020533245
93,1.5404279195901118
94,1.3939900265799627
95,1.5363435648908519
96,1.5200512011845906
97,1.760244233439667
98,1.41616190081895
99,1.4262194771959325
100,1.4936243693033855
101,1.4619388231123336
102,1.3626767457133593
103,1.5561081195118451
104,1.3907366665926846
105,1.5154744085639413
106,1.3493369378224769
107,1.3016714248994383
108,1.3961336245440474
109,1.340471412196304
110,1.232630516543533
111,1.4763216261911873
112,1.2617573653808747
113,1.400863523435111
114,1.450912260647976
115,1.2680952488774
116,1.3921442874754317
117,1.274411556696651
118,1.1729730752983478
119,1.1235839405445138
120,1.197743433292466
121,1.0787985360983647
122,1.0869573619630601
123,1.4331494822646633
124,1.0311113427383731
125,1.049566077764588
126,1.1002575622664557
127,1.0059138488287878
128,1.1117571664578987
129,1.0008931292427912
130,1.1229941742588776
131,1.0636991027629736
132,0.868697763091386
133,0.8750906532460992
134,1.2042957472078728
135,0.8114944865005185
136,0.814578135808309
137,0.7373566525151031
138,1.0019521418243948
139,0.6795220548155332
140,0.5745140675342444
141,0.8479401716078171
142,0.8974012822815867
143,0.7262777809542839
144,0.5724624672321358
145,0.6830714820611357
146,0.9552229805426165
147,0.5656376509654402
148,0.5240783543899806
149,0.5746139647683712
150,0.7400205400254991
151,0.5474965454954089
152,0.4822095158425244
153,0.3933542570983521
154,0.6023165300638988
155,0.5780331778405893
156,0.5099482701884376
157,0.6599659131030844
158,0.5713223151561587
159,0.2847938098088659
160,0.42183369232548606
161,0.28762875437134444
162,0.4005151457256741
163,0.27467806155633445
164,0.29885272245214445
165,0.2860045792779537
166,0.21693491582015548
167,0.1890493831550232
168,0.5864369914387212
169,1.1786338345269964
170,0.24477627211146885
171,0.21503097029647442
172,0.3026736000872622
173,0.2433449499346692
174,0.12130378653304745
175,0.26821934578545165
176,0.16611683127856014
177,0.34542274994380545
178,0.10129486845166545
179,0.08803297624443517
180,0.19626651305441906
181,0.15009010966980096
182,0.17650172131305392
183,0.10526941757122374
184,0.07883700100008888
185,0.06891158930581025
186,0.08461351060153295
187,0.10204858912361993
188,0.4173342627708358
189,0.4955718794254341
190,0.4677922280147822
191,0.052190709896761965
192,0.07406986137908517
193,0.043475478737041204
194,0.03414594164739052
195,0.027765867413219177
196,0.03848545238225147
197,0.07070144971437527
198,0.1974550290503586
199,0.3629471790398274
